Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,"First by Stein and Rapoport: 0.05: (D, D)",2.504035714285714,0.5898857142857142,9.0,1.0,0.56325,0.026635714285714283,0.10045714285714287,0.3096571428571429,0.9960222171113288,0.14746687744655224,0.5844332114180409,0
1,First by Grofman,2.488714285714286,0.8358571428571429,1.0,1.0,0.6784928571428571,0.1573642857142857,0.07262857142857142,0.0915142857142857,1.0,0.26683133676624704,0.28018618060309614,1.0
2,"First by Tideman and Chieruzzi: (D, D)",2.4243571428571427,0.5742142857142857,11.0,1.0,0.5617857142857143,0.012428571428571428,0.07854285714285715,0.34724285714285713,0.9993691620451669,0.0587114167061397,0.36061599955235174,0
3,First by Nydegger,2.412357142857143,0.9992785714285715,0.0,1.0,0.8035142857142856,0.19576428571428567,0.00030714285714285707,0.00041428571428571415,0.9999855612348032,0.9994634257157888,0.23809523809523808,0.4393939393939394
4,Tit For Tat,2.4015,0.6736928571428571,0.0,1.0,0.6142928571428572,0.05940000000000001,0.05890714285714286,0.26739999999999997,1.0,0,1.0,0
5,First by Shubik,2.3176071428571428,0.5390571428571429,3.0,1.0,0.5174000000000001,0.021657142857142854,0.07652142857142856,0.3844214285714285,1.0,0,0.11249252743714501,0.04440646625886908
6,Grudger,2.309857142857143,0.5073642857142857,5.0,1.0,0.5067214285714285,0.0006428571428571429,0.07387857142857143,0.41875714285714283,1.0,0,0,0
7,First by Davis: 10,2.3095714285714286,0.5095571428571428,4.0,1.0,0.50775,0.001807142857142857,0.07353571428571429,0.4169071428571428,0.9802547363031234,0.847918989223337,0,0
8,First by Downing,2.2228571428571424,0.3854,6.5,0.0,0.30860714285714286,0.07679285714285713,0.1711214285714285,0.44347857142857144,0.9986967238278334,0.7542591276351558,0.22693845313892777,0.36966038969469706
9,First by Graaskamp: 0.05,2.077107142857143,0.3788,5.0,1.0,0.2877214285714285,0.09107857142857144,0.14776428571428574,0.4734357142857143,0.9267376273457281,0.7346601015732259,0.8032295706180481,0.1637327264453443
10,"First by Feld: 1.0, 0.5, 200",1.8189285714285715,0.16459285714285715,10.0,1.0,0.12789999999999999,0.036692857142857145,0.1552714285714286,0.6801357142857143,0.8067274903881804,0,0.7480076644555257,0
11,First by Joss: 0.9,1.6656785714285713,0.2535071428571429,11.0,1.0,0.20609999999999998,0.047407142857142856,0.07482142857142855,0.6716714285714286,0.8791021024729414,0,0.9071408708095587,0
12,First by Tullock,1.6123214285714287,0.2161142857142857,8.0,1.0,0.16674999999999998,0.049364285714285715,0.08147142857142857,0.7024142857142858,0.8229322532962974,0.544856511833894,0.6148174463317246,0.09316706717056777
13,First by Anonymous,1.5031428571428571,0.49999285714285713,2.5,0.4357142857142857,0.15170714285714285,0.34828571428571425,0.15048571428571428,0.3495214285714286,0.5319528657839309,0.47186171787204395,0.48511370101534274,0.49329774460591036
14,Random: 0.5,1.5005714285714284,0.49797142857142856,3.5,0.4714285714285714,0.15416428571428573,0.34380714285714287,0.1534142857142857,0.3486142857142857,0.4982960247809095,0.4873445653353863,0.4912750162857299,0.48426150766862514
